DataSeries,19931Q,19924Q,19923Q,19922Q,19921Q,19914Q,19913Q,19912Q,19911Q,20252Q,20251Q,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q,20133Q,20132Q,20131Q,20124Q,20123Q,20122Q,20121Q,20114Q,20113Q,20112Q,20111Q,20104Q,20103Q,20102Q,20101Q,20094Q,20093Q,20092Q,20091Q,20084Q,20083Q,20082Q,20081Q,20074Q,20073Q,20072Q,20071Q,20064Q,20063Q,20062Q,20061Q,20054Q,20053Q,20052Q,20051Q,20044Q,20043Q,20042Q,20041Q,20034Q,20033Q,20032Q,20031Q,20024Q,20023Q,20022Q,20021Q,20014Q,20013Q,20012Q,20011Q,20004Q,20003Q,20002Q,20001Q,19994Q,19993Q,19992Q,19991Q,19984Q,19983Q,19982Q,19981Q,19974Q,19973Q,19972Q,19971Q,19964Q,19963Q,19962Q,19961Q,19954Q,19953Q,19952Q,19951Q,19944Q,19943Q,19942Q,19941Q,19934Q,19933Q,19932Q
Total Warehouse Space,876,905,935,945,963,1131,1172,1159,1002,814,1052,1183,1179,1154,1016,903,885,631,618,728,697,710,769,786,746,816,919,944,878,820,802,746,739,648,645,627,677,699,852,741,917,845,1176,1144,1318,1303,1432,1589,1654,1463,1601,1377,1622,1541,1632,1589,1684,1517,1404,1320,1314,1195,1192,1050,663,646,675,685,698,692,574,507,616,696,775,834,934,828,796,802,829,964,911,922,666,473,438,474,412,390,300,282,232,214,193,220,224,280,302,318,449,526,521,579,603,593,563,607,528,517,527,590,569,636,683,740,820,982,1172,1202,1233,1510,1369,1457,1442,1519,1629,1546,1467,1374,1368,1258,1192,1072,830,874,863,939
    Under Construction,420,336,340,359,378,446,332,294,320,764,864,914,902,623,522,651,570,326,371,476,528,528,530,551,514,558,713,716,762,742,753,693,594,488,473,592,542,649,715,577,724,808,1058,1094,1213,1212,1290,1339,1336,1099,1194,1162,1018,1000,1215,1169,1335,1150,1145,1147,1115,940,972,616,574,484,544,540,572,600,543,375,461,500,586,643,682,666,604,699,702,796,729,542,473,345,328,284,340,228,223,221,129,136,125,151,165,167,207,245,254,303,323,387,317,281,261,303,359,324,354,434,397,480,483,574,646,789,929,959,983,852,842,899,955,967,975,881,902,814,774,745,667,564,523,520,512,475
    Planned - Written Permission,249,276,266,278,273,264,399,157,158,41,39,102,228,263,218,223,225,139,139,145,145,144,204,199,150,171,149,168,28,26,26,28,22,138,137,18,41,31,119,32,78,32,31,16,19,19,89,57,49,60,22,20,108,65,42,34,55,72,69,30,17,22,10,30,87,36,127,91,5,5,15,48,48,74,74,62,80,44,58,71,65,54,41,40,99,110,69,96,65,150,58,57,73,56,56,56,59,61,65,63,62,94,61,65,62,70,70,83,75,79,77,50,47,28,28,40,37,36,32,27,26,210,204,209,219,218,217,228,255,38,56,52,76,86,128,86,95,240
    Planned - Provisional Permission,115,165,202,138,187,262,232,402,199,10,149,166,49,268,275,29,89,166,107,106,24,38,35,36,82,86,56,60,87,51,23,24,123,22,32,15,11,17,15,130,112,2,84,32,76,54,51,189,265,293,156,195,469,409,352,371,294,236,190,12,168,219,210,404,2,126,4,54,107,81,16,84,107,122,115,129,172,118,132,29,23,45,73,245,25,5,41,77,7,12,12,4,30,15,12,1,0,52,30,10,8,4,12,2,99,74,89,78,63,95,81,94,125,128,172,109,107,149,183,167,187,160,221,127,138,223,247,250,158,202,127,145,130,161,97,146,160,106
    Planned - Others,92,128,127,170,125,159,209,306,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,82,2,2,2,2,2,2,2,10,18,2,4,4,11,229,0,27,67,23,15,0,59,0,131,14,14,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,2,3,39,69,68,95,69,13,0,17,0,0,7,0,0,7,0,12,0,0,0,0,125,125,125,125,125,168,143,143,31,19,15,12,0,0,0,17,30,8,28,49,37,288,102,222,130,111,190,187,152,320,411,316,319,261,82,122,96,118
Total Retail Space,na,na,na,na,na,na,na,na,na,616,613,638,605,663,675,703,665,507,511,513,480,503,477,460,444,437,444,445,438,424,416,405,332,370,424,453,583,585,573,555,612,634,638,616,688,768,800,834,848,844,797,852,969,979,977,1002,999,990,1019,980,950,933,856,817,856,877,748,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Under Construction,na,na,na,na,na,na,na,na,na,307,228,194,201,212,244,251,245,235,252,267,274,276,277,274,298,247,248,252,253,214,213,227,227,254,305,312,441,433,449,449,499,512,557,482,554,626,650,610,598,603,550,510,620,627,634,660,741,693,704,707,713,706,559,523,436,472,389,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Written Permission,na,na,na,na,na,na,na,na,na,19,18,30,36,25,33,40,34,33,31,24,21,30,12,8,10,61,15,15,15,38,50,25,30,25,16,29,27,30,25,23,27,27,27,81,31,40,47,56,47,35,79,191,107,123,152,95,86,107,136,113,78,77,115,158,96,73,91,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Provisional Permission,na,na,na,na,na,na,na,na,na,201,278,321,315,343,333,330,321,174,124,129,120,132,126,123,120,111,165,159,160,112,95,81,31,41,43,46,33,35,56,37,30,37,22,32,67,68,86,142,141,136,94,84,157,129,142,198,99,109,102,75,101,112,57,46,166,99,98,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Others,na,na,na,na,na,na,na,na,na,89,89,93,53,83,65,82,65,65,104,93,65,65,62,55,16,18,16,19,10,60,58,72,44,50,60,66,82,87,43,46,56,58,32,21,36,34,17,26,62,70,74,67,85,100,49,49,73,81,77,85,58,38,125,90,158,233,170,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Hotel Rooms,na,na,na,na,na,na,na,na,na,9601,9819,9869,10115,8525,8497,9056,9505,8200,8452,8732,8771,9038,9112,9334,9331,9304,8808,9287,8690,8597,7915,8281,7926,5174,4038,3313,4309,4131,3731,3372,3682,5809,6778,6496,6754,6925,7908,8514,10530,10967,12168,13669,12505,12254,13608,13512,12777,14175,13966,13433,14430,12758,13634,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Under Construction,na,na,na,na,na,na,na,na,na,5139,4906,4124,4337,4303,4554,5342,6105,5577,5723,6255,6324,5587,5572,5794,5794,4805,5029,4473,3727,3728,2544,2872,2139,2438,1742,1921,2969,2837,2718,2630,2700,4827,6013,5841,6025,6197,7560,7712,9469,9517,9996,10451,10481,9186,8689,9056,8658,7696,8133,7810,7967,7160,7453,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Written Permission,na,na,na,na,na,na,na,na,na,1299,1044,1044,1374,1208,1233,1068,1163,1290,1114,1244,1246,2150,2170,2170,2037,2834,2193,2221,2220,1223,2211,1529,213,213,60,60,97,447,437,189,189,189,212,274,349,348,348,802,1061,1106,991,1658,1391,1934,2535,1920,1565,1571,1692,1556,1634,2015,2388,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Provisional Permission,na,na,na,na,na,na,na,na,na,2725,3431,2399,2102,2272,2272,2208,1652,748,1030,1030,998,1098,830,830,960,1125,1586,2593,2712,3646,3160,3852,5546,2105,1693,842,673,322,441,553,553,553,553,381,0,0,0,0,0,344,1181,1189,262,1099,1449,1635,2496,4322,2860,2004,2659,2614,2267,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Others,na,na,na,na,na,na,na,na,na,438,438,2302,2302,742,438,438,585,585,585,203,203,203,540,540,540,540,0,0,31,0,0,28,28,418,543,490,570,525,135,0,240,240,0,0,380,380,0,0,0,0,0,371,371,35,935,901,58,586,1281,2063,2170,969,1526,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
