quarter,ec_launched_status,type_of_sale,units
2018-Q4,EC 10 years or more from TOP,Resale,56
2018-Q4,EC Launched,na,0
2018-Q4,EC Less than 10 years from TOP,Resale,94
2018-Q4,Uncompleted EC,New sale,25
2019-Q1,Completed EC,New sale,9
2019-Q1,EC 10 years or more from TOP,Resale,48
2019-Q1,EC Launched,na,0
2019-Q1,EC Less than 10 years from TOP,Resale,61
2019-Q1,Uncompleted EC,New sale,1
2019-Q2,Completed EC,New sale,2
2019-Q2,EC 10 years or more from TOP,Resale,93
2019-Q2,EC Launched,na,0
2019-Q2,EC Less than 10 years from TOP,Resale,115
2019-Q2,Uncompleted EC,New sale,8
2019-Q3,Completed EC,New sale,1
2019-Q3,EC 10 years or more from TOP,Resale,94
2019-Q3,EC Launched,na,820
2019-Q3,EC Less than 10 years from TOP,Resale,146
2019-Q3,Uncompleted EC,New sale,425
2019-Q4,Completed EC,New sale,1
2019-Q4,EC 10 years or more from TOP,Resale,82
2019-Q4,EC Launched,na,0
2019-Q4,EC Less than 10 years from TOP,Resale,130
2019-Q4,Uncompleted EC,New sale,58
2020-Q1,EC 10 years or more from TOP,Resale,61
2020-Q1,EC Launched,na,1044
2020-Q1,EC Less than 10 years from TOP,Resale,123
2020-Q1,Uncompleted EC,New sale,590
2020-Q2,EC 10 years or more from TOP,Resale,34
2020-Q2,EC Launched,na,0
2020-Q2,EC Less than 10 years from TOP,Resale,97
2020-Q2,Uncompleted EC,New sale,71
2020-Q3,EC 10 years or more from TOP,Resale,117
2020-Q3,EC Launched,na,0
2020-Q3,EC Less than 10 years from TOP,Resale,323
2020-Q3,Uncompleted EC,New sale,164
2020-Q4,EC 10 years or more from TOP,Resale,158
2020-Q4,EC Launched,na,0
2020-Q4,EC Less than 10 years from TOP,Resale,337
2020-Q4,Uncompleted EC,New sale,133
2021-Q1,EC 10 years or more from TOP,Resale,139
2021-Q1,EC Launched,na,700
2021-Q1,EC Less than 10 years from TOP,Resale,381
2021-Q1,Uncompleted EC,New sale,647
2021-Q2,EC 10 years or more from TOP,Resale,145
2021-Q2,EC Launched,na,413
2021-Q2,EC Less than 10 years from TOP,Resale,462
2021-Q2,Uncompleted EC,New sale,495
2021-Q3,EC 10 years or more from TOP,Resale,156
2021-Q3,EC Launched,na,496
2021-Q3,EC Less than 10 years from TOP,Resale,489
2021-Q3,Uncompleted EC,New sale,717
2021-Q4,EC 10 years or more from TOP,Resale,117
2021-Q4,EC Launched,na,0
2021-Q4,EC Less than 10 years from TOP,Resale,437
2021-Q4,Uncompleted EC,New sale,260
2022-Q1,EC 10 years or more from TOP,Resale,91
2022-Q1,EC Launched,na,0
2022-Q1,EC Less than 10 years from TOP,Resale,316
2022-Q1,Uncompleted EC,New sale,131
2022-Q2,EC 10 years or more from TOP,Resale,124
2022-Q2,EC Launched,na,616
2022-Q2,EC Less than 10 years from TOP,Resale,524
2022-Q2,Uncompleted EC,New sale,193
2022-Q3,EC 10 years or more from TOP,Resale,95
2022-Q3,EC Launched,na,0
2022-Q3,EC Less than 10 years from TOP,Resale,464
2022-Q3,Uncompleted EC,New sale,28
2022-Q4,EC 10 years or more from TOP,Resale,93
2022-Q4,EC Launched,na,1257
2022-Q4,EC Less than 10 years from TOP,Resale,359
2022-Q4,Uncompleted EC,New sale,1127
2023-Q1,EC 10 years or more from TOP,Resale,58
2023-Q1,EC Launched,na,0
2023-Q1,EC Less than 10 years from TOP,Resale,264
2023-Q1,Uncompleted EC,New sale,206
2023-Q2,EC 10 years or more from TOP,Resale,89
2023-Q2,EC Launched,na,0
2023-Q2,EC Less than 10 years from TOP,Resale,451
2023-Q2,Uncompleted EC,New sale,56
2023-Q3,EC 10 years or more from TOP,Resale,82
2023-Q3,EC Launched,na,360
2023-Q3,EC Less than 10 years from TOP,Resale,445
2023-Q3,Uncompleted EC,New sale,420
2023-Q4,EC 10 years or more from TOP,Resale,108
2023-Q4,EC Launched,na,0
2023-Q4,EC Less than 10 years from TOP,Resale,413
2023-Q4,Uncompleted EC,New sale,52
2024-Q1,EC 10 years or more from TOP,Resale,89
2024-Q1,EC Launched,na,512
2024-Q1,EC Less than 10 years from TOP,Resale,336
2024-Q1,Uncompleted EC,New sale,449
2024-Q2,EC 10 years or more from TOP,Resale,135
2024-Q2,EC Launched,na,0
2024-Q2,EC Less than 10 years from TOP,Resale,444
2024-Q2,Uncompleted EC,New sale,145
2024-Q3,EC 10 years or more from TOP,Resale,151
2024-Q3,EC Launched,na,0
2024-Q3,EC Less than 10 years from TOP,Resale,401
2024-Q3,Uncompleted EC,New sale,100
2024-Q4,EC 10 years or more from TOP,Resale,169
2024-Q4,EC Launched,na,504
2024-Q4,EC Less than 10 years from TOP,Resale,337
2024-Q4,Uncompleted EC,New sale,526
2025-Q1,EC 10 years or more from TOP,Resale,0
2025-Q1,EC Launched,na,760
2025-Q1,EC Less than 10 years from TOP,Resale,0
2025-Q1,Uncompleted EC,New sale,829
2025-Q2,EC 10 years or more from TOP,Resale,0
2025-Q2,EC Launched,na,0
2025-Q2,EC Less than 10 years from TOP,Resale,0
2025-Q2,Uncompleted EC,New sale,147
